proj_id;title;cost;summary;start_date;finish_date;evaluator_id;eval_points;eval_creation_date;exec_id;prog_id;org_id;mgr_id
1201;Goscientific;981963;Nam nec venenatis felis. In posuere volutpat dolor, ut suscipit risus vestibulum non. Maecenas eget semper ante. Curabitur luctus sapien eget lectus iaculis, sit amet imperdiet ligula sollicitudin. Nunc ornare nunc in aliquam aliquet. Morbi eleifend quam non nibh hendrerit finibus. Nam diam odio, convallis suscipit aliquam non, ultricies in dui. Vestibulum gravida molestie ligula at vehicula. Fusce in aliquet diam. Suspendisse potenti. Duis consequat quam massa, nec facilisis ipsum pulvinar sed.;2019-06-20;2022-05-03;1089;81;2019-05-25;2210;2001;1130;1088
1202;Roboteable;152620;Vestibulum iaculis lacus non lacus cursus molestie. Nullam suscipit tempor imperdiet. Nam fermentum porta velit vitae consectetur. Duis eget feugiat elit, id pharetra justo. Ut sit amet consectetur lectus. Nam eleifend interdum accumsan. Nam non auctor leo. Cras et odio eu libero pellentesque bibendum sit amet in magna.;2019-03-06;2021-11-23;1092;90;2019-02-06;2204;2004;1130;1090
1203;Enscience;142354;Sed luctus dolor libero, eu cursus lacus condimentum eget. Fusce consequat nec metus a ullamcorper. Pellentesque venenatis viverra sapien, ac feugiat velit elementum et. Phasellus molestie urna mi, at tristique neque interdum non. Curabitur elementum cursus magna, quis sodales diam condimentum vitae. Mauris id elit augue. Sed arcu justo, commodo eget turpis at, accumsan laoreet purus. Integer volutpat consequat mauris vitae placerat. Praesent vel ex sapien. Pellentesque accumsan, mi in rutrum finibus, ligula lacus interdum enim, ac bibendum mi dui ac nisi. Vivamus ligula mi, dignissim ac tempus vitae, dapibus ornare sapien. Curabitur ornare nibh in lorem porttitor euismod. Cras commodo libero nec suscipit condimentum. Nulla facilisi. Nulla consequat interdum augue. Nam cursus ex lectus, non dapibus turpis ultricies vitae.;2011-03-05;2013-06-22;1082;74;2011-02-05;2205;2004;1128;1081
1204;Goresearch;375372;Donec pellentesque id nunc sodales elementum. Nulla a facilisis massa. Mauris vel lacus sed lacus sollicitudin placerat quis quis neque. Nulla tincidunt dui quis elit viverra, congue consectetur est euismod. Proin eu tempus tellus. Praesent tincidunt mollis luctus. Donec quis interdum dolor.;2019-08-11;2022-09-08;1035;90;2019-07-11;2202;2005;1115;1034
1205;Mechanicsician;450738;Vivamus et vehicula libero, at volutpat erat. Donec laoreet vel elit non ultrices. Curabitur vestibulum posuere venenatis. Quisque et risus ut elit gravida ultricies. Vivamus efficitur a risus eu ultricies. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean sem odio, dictum at feugiat ac, vestibulum ac tortor. Curabitur maximus sodales lacus quis aliquet. Suspendisse aliquam eros dolor, eget sodales elit semper at.;2019-08-21;2021-12-11;1093;81;2019-07-21;2203;2001;1130;1092
1206;Labs Dash;843323;Sed ac pretium enim. Donec in fringilla tellus. Aliquam vel odio nec mauris egestas placerat a id leo. Praesent at nibh nec arcu rhoncus laoreet. Ut ligula mi, porta in pretium quis, iaculis et metus. Suspendisse vitae sem efficitur, ornare lectus vel, sagittis magna. Ut ante odio, malesuada ut ipsum sed, interdum convallis enim. Cras eu velit rhoncus, congue leo nec, cursus enim. Nullam leo mauris, ultrices ac maximus nec, euismod vel libero. Duis faucibus pharetra elit ac facilisis. Nunc in blandit magna, quis ullamcorper lacus. Nullam vel ultrices dui. Phasellus massa nunc, dignissim sit amet volutpat a, tempus id ipsum. Ut scelerisque velit est, ut dignissim sem imperdiet ac. Phasellus tincidunt est mauris, quis ornare magna finibus non.;2019-05-19;2022-10-22;1095;86;2019-04-19;2207;2002;1130;1094
1207;Spacefer;821936;Ut a dignissim dolor. Fusce auctor orci massa, at dignissim ex molestie in. Donec laoreet eget sem at ornare. Fusce rutrum diam sed risus laoreet sodales. Vivamus nec malesuada nisi. Suspendisse mattis urna magna, ac mollis magna finibus eget. Duis risus dui, bibendum accumsan elit ac, euismod aliquam nisl. In pharetra elementum odio sit amet venenatis. Phasellus sem erat, ornare a turpis vitae, imperdiet tempor diam. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec at sagittis turpis. Nunc ullamcorper mi et velit pulvinar, ut tempus lorem congue. Aenean lobortis urna quis semper tempor. Vivamus egestas efficitur ligula fringilla ornare. Nunc venenatis ultricies lectus id lacinia. Morbi pretium magna id sem vulputate, quis laoreet dolor elementum.;2019-08-04;2022-08-24;1037;65;2019-07-04;2203;2002;1115;1036
1208;Artificial Atlas;590111;Sed ipsum ex, consequat vel nisi et, condimentum finibus risus. Sed vel rhoncus risus. Quisque sed quam et elit egestas mattis nec eget eros. Phasellus eu dictum augue, non porta ex. Etiam vel lacinia felis. Quisque eu justo ac erat porttitor ornare in ut libero. Sed tristique sodales dui at pellentesque. Nulla magna ex, pellentesque tempor lectus quis, auctor mattis dolor.;2019-02-27;2022-07-22;1039;97;2019-01-27;2205;2003;1115;1038
1209;Techdot;507587;Donec mattis consequat laoreet. Donec tincidunt ex quis bibendum posuere. Quisque hendrerit egestas est ac hendrerit. Curabitur sagittis enim orci, eget ultricies elit ornare ac. Morbi congue tristique ligula, in suscipit ante porta lacinia. Nam vitae velit eget elit fringilla posuere id at dolor. Morbi ullamcorper euismod vestibulum. Phasellus pretium arcu et ligula efficitur cursus. Duis sit amet volutpat orci. Etiam venenatis odio libero, ac interdum risus rutrum non. Nam venenatis, sem nec laoreet consequat, odio arcu cursus elit, at mollis tellus dui id lectus. Donec imperdiet porta tortor, sit amet ultrices ex. Mauris metus eros, posuere eu magna non, porttitor egestas ex. Fusce egestas volutpat ipsum sed vehicula. Donec convallis odio viverra purus mollis tempus. Nullam hendrerit velit id nunc viverra facilisis.;2018-05-08;2021-01-06;1042;68;2018-04-08;2209;2005;1115;1040
1210;Historical Rise;557972;Integer in turpis vel urna ullamcorper egestas sit amet a nisl. Proin at dictum dolor, et luctus odio. Duis bibendum massa nec dui dictum volutpat vitae eu nibh. Suspendisse potenti. Suspendisse laoreet ex dui, sed convallis nulla dapibus at. Mauris hendrerit laoreet nibh dictum efficitur. Proin non diam turpis. Cras ligula ligula, sodales eu enim sed, lobortis aliquet purus. Integer bibendum pharetra mauris. Aliquam eu justo a est auctor accumsan vel quis arcu. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec non bibendum lorem. Morbi magna massa, suscipit at auctor a, accumsan a ipsum. Cras varius, ex vitae lobortis accumsan, urna odio laoreet felis, nec vestibulum arcu orci at justo.;2014-07-10;2017-09-22;1002;80;2014-06-10;2201;2003;1101;1001
