proj_id;res_id
1201;1088
1202;1090
1203;1081
1204;1034
1205;1092
1206;1094
1207;1036
1208;1038
1209;1040
1210;1001
1211;1003
1212;1096
1213;1044
1214;1049
1215;1025
1216;1031
1217;1019
1218;1074
1219;1083
1220;1098
1221;1068
1222;1042
1223;1017
1224;1084
1225;1035
1226;1050
1227;1007
1228;1061
1229;1082
1230;1010
1231;1012
1232;1050
1233;1098
1234;1046
1235;1068
1236;1070
1237;1051
1238;1063
1239;1071
1240;1008
1241;1018
1242;1047
1243;1028
1244;1095
1245;1038
1246;1072
1247;1043
1248;1040
1249;1094
1250;1048
1251;1015
1252;1064
1253;1056
1254;1089
1255;1089
1256;1017
1257;1033
1258;1023
1259;1035
1260;1092
1201;1090
1202;1088
1203;1082
1204;1036
1205;1090
1206;1090
1207;1042
1208;1036
1209;1034
1210;1054
1211;1060
1212;1090
1213;1046
1214;1080
1215;1027
1216;1033
1217;1021
1218;1076
1219;1081
1220;1090
1221;1067
1222;1036
1223;1078
1224;1086
1225;1036
1226;1080
1227;1009
1228;1063
1229;1081
1230;1022
1231;1014
1232;1080
1233;1090
1234;1044
1235;1067
1236;1087
1237;1053
1238;1061
1239;1087
1240;1007
1241;1078
1242;1100
1243;1030
1244;1088
1245;1036
1246;1091
1247;1037
1248;1038
1249;1095
1250;1100
1251;1041
1252;1066
1253;1058
1254;1097
1255;1092
1256;1078
1257;1031
1258;1079
1259;1040
1260;1089
